"도로명코드","도로명","도로명 로마자","읍면동일련번호","시도명","시도명 로마자","시군구명","시군구명 로마자","읍면동명","읍면동명 로마자","읍면동구분","읍면동코드","사용여부","변경사유","변경이력정보","고시일자","말소일자"
"111103100013","종로","Jong-ro","08","서울특별시","Seoul","종로구","Jongno-gu","종로3가","Jongno 3(sam)-ga","1","156","0","","","",""
"111103100013","종로","Jong-ro","09","서울특별시","Seoul","종로구","Jongno-gu","인의동","Inui-dong","1","157","0","","","",""
"111103100013","종로","Jong-ro","10","서울특별시","Seoul","종로구","Jongno-gu","종로4가","Jongno 4(sa)-ga","1","161","0","","","",""
"111103100013","종로","Jong-ro","11","서울특별시","Seoul","종로구","Jongno-gu","종로5가","Jongno 5(o)-ga","1","163","0","","","",""
"111103100013","종로","Jong-ro","12","서울특별시","Seoul","종로구","Jongno-gu","종로6가","Jongno 6(yuk)-ga","1","164","0","","","",""
"111103100013","종로","Jong-ro","13","서울특별시","Seoul","종로구","Jongno-gu","창신동","Changsin-dong","1","174","0","","","",""
"111103100013","종로","Jong-ro","14","서울특별시","Seoul","종로구","Jongno-gu","숭인동","Sungin-dong","1","175","0","","","",""
"111103100013","종로","Jong-ro","15","서울특별시","Seoul","종로구","Jongno-gu","청진동","Cheongjin-dong","1","122","0","","","",""
"111103100014","창의문로","Changuimun-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100014","창의문로","Changuimun-ro","01","서울특별시","Seoul","종로구","Jongno-gu","청운동","Cheongun-dong","1","101","0","","","",""
"111103100014","창의문로","Changuimun-ro","02","서울특별시","Seoul","종로구","Jongno-gu","궁정동","Gungjeong-dong","1","103","0","","","",""
"111103100014","창의문로","Changuimun-ro","03","서울특별시","Seoul","종로구","Jongno-gu","부암동","Buam-dong","1","184","0","","","",""
"111103100015","청와대로","Cheongwadae-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100015","청와대로","Cheongwadae-ro","01","서울특별시","Seoul","종로구","Jongno-gu","팔판동","Palpan-dong","1","139","0","","","",""
"111103100015","청와대로","Cheongwadae-ro","02","서울특별시","Seoul","종로구","Jongno-gu","세종로","Sejongno","1","119","0","","","",""
"111103100017","효자로","Hyoja-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100017","효자로","Hyoja-ro","01","서울특별시","Seoul","종로구","Jongno-gu","궁정동","Gungjeong-dong","1","103","0","","","",""
"111103100017","효자로","Hyoja-ro","02","서울특별시","Seoul","종로구","Jongno-gu","효자동","Hyoja-dong","1","104","0","","","",""
"111103100017","효자로","Hyoja-ro","03","서울특별시","Seoul","종로구","Jongno-gu","창성동","Changseong-dong","1","105","0","","","",""
"111103100017","효자로","Hyoja-ro","04","서울특별시","Seoul","종로구","Jongno-gu","통의동","Tongui-dong","1","106","0","","","",""
"111103100017","효자로","Hyoja-ro","05","서울특별시","Seoul","종로구","Jongno-gu","적선동","Jeokseon-dong","1","107","0","","","",""
"111103100017","효자로","Hyoja-ro","06","서울특별시","Seoul","종로구","Jongno-gu","세종로","Sejongno","1","119","0","","","",""
"111103100018","난계로","Nangye-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100018","난계로","Nangye-ro","01","서울특별시","Seoul","종로구","Jongno-gu","숭인동","Sungin-dong","1","175","0","","","",""
"111103100019","북악산로","Bugaksan-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100019","북악산로","Bugaksan-ro","01","서울특별시","Seoul","종로구","Jongno-gu","평창동","Pyeongchang-dong","1","183","0","","","",""
"111103100019","북악산로","Bugaksan-ro","02","서울특별시","Seoul","종로구","Jongno-gu","부암동","Buam-dong","1","184","0","","","",""
"111103100020","진흥로","Jinheung-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100020","진흥로","Jinheung-ro","01","서울특별시","Seoul","종로구","Jongno-gu","구기동","Gugi-dong","1","182","0","","","",""
"111103100020","진흥로","Jinheung-ro","02","서울특별시","Seoul","종로구","Jongno-gu","신영동","Sinyeong-dong","1","186","0","","","",""
"111103100021","청계천로","Cheonggyecheon-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100021","청계천로","Cheonggyecheon-ro","01","서울특별시","Seoul","종로구","Jongno-gu","서린동","Seorin-dong","1","123","0","","","",""
"111103100021","청계천로","Cheonggyecheon-ro","02","서울특별시","Seoul","종로구","Jongno-gu","관철동","Gwancheol-dong","1","135","0","","","",""
"111103100021","청계천로","Cheonggyecheon-ro","03","서울특별시","Seoul","종로구","Jongno-gu","장사동","Jangsa-dong","1","154","0","","","",""
"111103100021","청계천로","Cheonggyecheon-ro","04","서울특별시","Seoul","종로구","Jongno-gu","관수동","Gwansu-dong","1","155","0","","","",""
